Month,Year,Amount,Unit,,,,,,,,,,,,
January,2020,176.2,million litres,,,,,,,,,,,,
February,2020,331.7,million litres,,,,,,,,,,,,
March,2020,725.7,million litres,,,,,,,,,,,,
April,2020,982.7,million litres,,,,,,,,,,,,
May,2020,1115.3,million litres,,,,,,,,,,,,
June,2020,1031.0,million litres,,,,,,,,,,,,
July,2020,985.0,million litres,,,,,,,,,,,,
August,2020,867.6,million litres,,,,,,,,,,,,
September,2020,725.4,million litres,,,,,,,,,,,,
October,2020,646.8,million litres,,,,,,,,,,,,
November,2020,449.8,million litres,,,,,,,,,,,,
December,2020,258.8,million litres,,,,,,,,,,,,
January,2021,182.2,million litres,,,,,,,,,,,,
February,2021,352.4,million litres,,,,,,,,,,,,
March,2021,829.7,million litres,,,,,,,,,,,,
April,2021,1060.5,million litres,,,,,,,,,,,,
May,2021,1181.0,million litres,,,,,,,,,,,,
June,2021,1067.3,million litres,,,,,,,,,,,,
July,2021,1017.3,million litres,,,,,,,,,,,,
August,2021,917.4,million litres,,,,,,,,,,,,
September,2021,776.7,million litres,,,,,,,,,,,,
October,2021,649.6,million litres,,,,,,,,,,,,
November,2021,465.9,million litres,,,,,,,,,,,,
December,2021,258.5,million litres,,,,,,,,,,,,
January,2022,183.3,million litres,,,,,,,,,,,,
February,2022,367.5,million litres,,,,,,,,,,,,
March,2022,808.6,million litres,,,,,,,,,,,,
April,2022,1054.6,million litres,,,,,,,,,,,,
May,2022,1166.0,million litres,,,,,,,,,,,,
June,2022,1057.6,million litres,,,,,,,,,,,,
July,2022,1022.8,million litres,,,,,,,,,,,,
August,2022,919.0,million litres,,,,,,,,,,,,
September,2022,785.6,million litres,,,,,,,,,,,,
October,2022,698.5,million litres,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Table 2 Milk Statistics Ireland (Domestic Milk Intake by creameries and pasteurisers,,,,,,,,,,,,,,,
